race_id,series_id,race_season,race_name,race_type_id,restrictor_plate,track_id,track_name,date_scheduled,race_date,qualifying_date,tunein_date,scheduled_distance,actual_distance,scheduled_laps,actual_laps,stage_1_laps,stage_2_laps,stage_3_laps,number_of_cars_in_field,pole_winner_driver_id,pole_winner_speed,number_of_lead_changes,number_of_leaders,number_of_cautions,number_of_caution_laps,average_speed,total_race_time,margin_of_victory,race_purse,race_comments,attendance,radio_broadcaster,television_broadcaster,master_race_id,inspection_complete,playoff_round,is_qualifying_race,qualifying_race_no,qualifying_race_id,has_qualifying,winner_driver_id,pole_winner_laptime
5019,1,2021,Blue-Emu Maximum Pain Relief 500,1,1,22,Martinsville Speedway,2021-04-10T19:30:00,2021-04-10T19:30:00,,2021-04-11T16:00:00,263.0,263.0,500,500,130,130,240,37,0,0.0,18,7,15,102,67.316,3:54:25,1.972,0,"Martin Truex Jr. won the Blue-Emu Maximum Pain Relief 500 at Martinsville Speedway, his 29th career NASCAR Cup Series victory. Prior to the start of the race, the following car dropped to the rear for the reason indicated: No. 8 (unapproved adjustments).",0,MRN,FS1,12,True,0,False,0,-1,False,3368,
5038,1,2021,TOYOTA OWNERS 400,1,1,26,Richmond Raceway,2021-04-18T15:00:00,2021-04-18T15:00:00,,2021-04-18T15:00:00,300.0,300.0,400,400,80,155,165,38,0,0.0,20,7,5,39,96.282,3:06:57,.381,0,"Alex Bowman won the Toyota Owners 400 at Richmond Raceway, his 3rd NASCAR Cup Series victory. Prior to the start of the race no cars were sent to the rear of the field.",0,MRN,FOX,5038,True,0,False,0,-1,False,4045,
5021,1,2021,GEICO 500,1,1,82,Talladega Superspeedway,2021-04-25T14:00:00,2021-04-25T13:00:00,,2021-04-25T14:00:00,500.0,508.06,188,191,60,60,71,40,0,0.0,35,17,7,34,147.62,3:26:30,0.102,0,"Brad Keselowski has won the GEICO 500 at Talladega Superspeedway, his 35th victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: No. 78 (unapproved adjustments), Nos. 11, 19, 20, 23, 96, 51 (multiple inspection failures). ",0,MRN,FOX,957,True,0,False,0,-1,False,1816,
5029,1,2021,Buschy McBusch Race 400,1,1,41,Kansas Speedway,2021-05-02T15:00:00,2021-05-02T14:00:00,,2021-05-02T15:00:00,400.0,400.5,267,267,80,80,107,39,0,0.0,18,6,7,36,129.647,3:05:21,.336,0,"Kyle Busch has won the Buschy McBusch Race 400 at Kansas Speedway, his 58th victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: Nos. 42, 43 (two inspection failures), No. 38 (unapproved adjustments). ",0,MRN,FS1,3884,True,0,False,0,-1,False,454,
5014,1,2021,Goodyear 400,1,1,4,Darlington Raceway,2021-05-09T15:30:00,2021-05-09T15:30:00,,2021-05-09T15:30:00,400.2,400.24,293,293,90,95,108,37,0,0.0,19,10,6,36,123.562,3:14:21,2.571,0,"Martin Truex Jr. won the 2nd running of the Goodyear 400 at Darlington Raceway, his 30th victory in the NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 9 (unapproved adjustments), 10 (multiple inspection failures). ",0,MRN,FS1,442,True,0,False,0,-1,False,3368,
5034,1,2021,Drydene 400,1,1,103,Dover International Speedway,2021-05-16T14:00:00,2021-05-16T14:00:00,,2021-05-16T14:00:00,400.0,400.0,400,400,120,120,160,37,0,0.0,10,5,7,41,120.05,3:19:55,2.017,0,"Alex Bowman has won the Drydene 400 at Dover International Speedway, his fourth victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: No. 6 (unapproved adjustments), No. 77 (driver change) and No. 9 (multiple inspection failures). ",0,MRN,FS1,922,True,0,False,0,-1,False,4045,
5033,1,2021,EchoPark Texas Grand Prix,1,1,214,Circuit of The Americas,2021-05-23T14:30:00,2021-05-23T14:30:00,2021-05-23T00:00:00,2021-05-23T14:30:00,231.0,185.0,68,54,15,17,22,40,4065,92.363,11,10,6,14,59.024,3:07:11,Caution,0,"Chase Elliott won the EchoPark Automotive Texas Grand Prix, his 12th career NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: Nos. 2, 10, 11, 12, 14, 15, 17, 38, 43, 51 and 99 (unapproved adjustments).",0,PRN,FS1,5033,True,0,False,0,-1,True,4062,
5015,1,2021,Coca-Cola 600,1,1,162,Charlotte Motor Speedway,2021-05-30T18:00:00,2021-05-30T18:00:00,2021-05-30T18:00:00,2021-05-30T18:00:00,600.0,600.0,400,400,100,100,100,38,4030,180.282,23,13,4,26,150.785,3:58:45,10.051,0,"Kyle Larson has won the Coca-Cola 600 at Charlotte Motor Speedway, his eighth victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: Nos. 1, 78 (Unapproved Adjustments).",0,PRN,FOX,447,True,0,False,0,-1,True,4030,
5042,1,2021,Toyota / Save Mart 350,1,1,99,Sonoma Raceway,2021-06-06T16:00:00,2021-06-06T13:00:00,,2021-06-06T16:00:00,226.8,231.84,90,92,20,20,52,37,0,0.0,13,7,8,18,71.445,3:14:42,.614,0,"Kyle Larson won the 32nd running of the Toyota/Save Mart 350 at Sonoma Raceway, his ninth victory in the NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 38 (inspection violation), 78 (unapproved adjustments).",0,PRN,FS1,5042,True,0,False,0,-1,False,4030,
5067,1,2021,NASCAR All-Star Open,2,1,43,Texas Motor Speedway,2021-06-13T18:00:00,2021-06-13T17:00:00,2021-06-13T17:00:00,2021-06-13T18:00:00,75.0,75.0,50,50,20,20,10,22,4065,0.0,3,3,5,11,94.67,0:47:32,0.458,0,"Aric Almirola won the NASCAR All-Star Open at Texas Motor Speedway. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reason indicated: #42 (inspection violation), #33 (multiple inspection failures, unapproved adjustments), #13 (unapproved adjustments).",0,MRN,FS1,3690,True,0,False,0,-1,False,40,
5068,1,2021,NASCAR All-Star Race,2,1,43,Texas Motor Speedway,2021-06-13T20:00:00,2021-06-13T19:00:00,2021-06-13T19:00:00,2021-06-13T20:00:00,150.0,150.0,100,100,15,15,15,21,4030,0.0,10,8,7,0,84.919,1:45:59,0.206,0,"Kyle Larson won the NASCAR All-Star Race at Texas Motor Speedway, his 2nd NASCAR All-Star Race victory. Prior to the start of the race no cars were sent to the rear of the field.",0,MRN,FS1,3670,True,0,False,0,-1,False,4030,
5035,1,2021,Ally 400,1,1,52,Nashville Superspeedway,2021-06-20T15:30:00,2021-06-20T15:30:00,2021-06-20T14:30:00,2021-06-20T15:30:00,399.0,399.0,300,300,90,95,115,39,40,161.992,14,7,11,60,113.792,3:30:23,4.335,0,"Kyle Larson won the Ally 400 at Nashville Superspeedway, his 10th NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reason indicated: #00, #24, #43(unapproved adjustments).",0,MRN,NBCSN,5035,True,0,False,0,-1,True,4030,
5022,1,2021,Pocono Organics CBD 325,1,1,198,Pocono Raceway,2021-06-26T15:00:00,2021-06-26T15:00:00,,2021-06-26T15:00:00,325.0,325.0,130,130,25,52,53,38,0,0.0,14,9,8,25,129.453,2:30:38,0.683,0,"Alex Bowman has won the Pocono Organics CBD 325 at Pocono Raceway, his fifth victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: No. 41 (multiple inspection failures).",0,MRN,NBCSN,1358,True,0,False,0,-1,False,4045,
5023,1,2021,Explore the Pocono Mountains 350,1,1,198,Pocono Raceway,2021-06-27T15:30:00,2021-06-27T15:30:00,,2021-06-27T15:30:00,350.0,350.0,140,140,30,55,55,38,0,0.0,12,10,4,15,143.036,2:26:49,8.654,0,"Kyle Busch has won the Explore the Pocono Mountains 350 at Pocono Raceway, his 59th victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: No. 77 (driver change) and Nos. 41, 6, 5, 37, 42, 7, 38 (backup cars).   ",0,MRN,NBCSN,1122,True,0,False,0,-1,False,454,
5054,1,2021,Jockey Made in America 250 Presented by Kwik Trip,1,1,34,Road America,2021-07-04T14:30:00,2021-07-04T13:30:00,2021-07-04T00:00:00,2021-07-04T14:30:00,250.0,250.98,62,62,14,15,33,40,4184,110.359,10,8,4,9,86.271,2:54:33,5.705,0,"Chase Elliott has won the Jockey Made in America 250 Presented by Kwik Trip at Road America, his 13th victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: Nos. 18, 37 (backup car), No. 77 (engine change), No. 23 (transmission change), Nos. 78, 52, 00 (unapproved adjustments). ",0,MRN,NBC,5054,True,0,False,0,-1,True,4062,
5018,1,2021,Quaker State 400 presented by Walmart,1,1,111,Atlanta Motor Speedway,2021-07-11T15:30:00,2021-07-11T15:30:00,,2021-07-11T15:30:00,400.0,400.4,260,260,80,80,100,37,0,0.0,10,7,4,21,141.207,2:50:08,1.237,0,"Kurt Busch won the 52nd running of the Quaker State 400 at Atlanta Motor Speedway, his 33rd victory in the NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: No. 19 (multiple inspection failures).",0,PRN,NBCSN,3335,True,0,False,0,-1,False,453,
5030,1,2021,Foxwoods Resort Casino 301,1,1,138,New Hampshire Motor Speedway,2021-07-18T15:00:00,2021-07-18T15:00:00,,2021-07-18T15:00:00,318.46,309.99,301,293,75,110,108,37,0,0.0,14,10,6,47,99.004,3:07:52,0.697,0,"Aric Almirola won the Foxwoods Resort Casino 301 at New Hampshire Motor Speedway, his third career NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field for the reasons indicated: No. 00, 7, 37 and 78 (two inspection failures) and No. 23 (unapproved adjustments).",0,PRN,NBCSN,1683,True,0,False,0,-1,False,40,
5071,1,2021,Go Bowling at The Glen,1,1,157,Watkins Glen International,2021-08-08T15:00:00,2021-08-08T15:00:00,,2021-08-08T15:00:00,220.5,220.5,90,90,20,20,50,37,0,0.0,7,7,4,6,101.031,2:10:57,2.430,0,"Kyle Larson won the Go Bowling at the Glen at Watkins Glen Internationa, his 11th NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reason indicated: #20, #9 (inspection violation).",0,MRN,NBCSN,5071,True,0,False,0,-1,False,4030,
5074,1,2021,Verizon 200 at the Brickyard,1,1,211,Indianapolis Motor Speedway Road Course,2021-08-15T13:00:00,2021-08-15T13:00:00,2021-08-15T13:00:00,2021-08-15T13:00:00,200.0,231.705,82,95,15,20,60,40,4184,100.044,13,11,6,25,69.171,3:20:59,0.929,0,"AJ Allmendinger won the Verizon 200 at the Brickyard at the Indianapolis Motor Speedway Road Course. His second career victory in the NASCAR Cup Series. Prior to the start of the race, no cars dropped to the rear of the field. ",0,IMS,NBC,5074,True,0,False,0,-1,True,3774,
5031,1,2021,FireKeepers Casino 400,1,1,133,Michigan International Speedway,2021-08-22T15:00:00,2021-08-22T15:00:00,,2021-08-22T15:00:00,400.0,400.0,200,200,60,60,80,37,0,0.0,20,11,6,29,142.476,2:48:27,.077,0,"Ryan Blaney has won the FireKeepers Casino 400 at Michigan International Speedway, his sixth victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: No. 7 (Driver Change). ",0,MRN,NBCSN,930,True,0,False,0,-1,False,4023,
5036,1,2021,Coke Zero Sugar 400,1,1,105,Daytona International Speedway,2021-08-28T19:00:00,2021-08-28T19:00:00,,2021-08-28T19:00:00,400.0,412.5,160,165,50,50,65,40,0,0.0,45,15,8,31,142.201,2:54:03,Caution,0,"Ryan Blaney won the Coke Zero Sugar 400 at Daytona International Speedway, his seventh victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicles dropped to the rear of the field under penalty: Nos. 5, 7, 15, 16 (multiple inspection failures), Nos. 34, 38 (inspection violations). ",0,MRN,NBC,408,True,0,False,0,-1,False,4023,
5078,1,2021,Cook Out Southern 500,1,1,4,Darlington Raceway,2021-09-05T18:00:00,2021-09-05T18:00:00,,2021-09-05T18:00:00,501.3,501.32,367,367,115,115,137,37,0,0.0,18,10,11,52,121.279,4:08:01,.212,0,"Denny Hamlin won the 72nd running of the Cook Out Southern ""500"" at Darlington Raceway, his 45th victory in the NASCAR Cup Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: No. 3 (multiple inspection failures).",0,MRN,NBCSN,442,True,1,False,0,-1,False,1361,
5079,1,2021,Federated Auto Parts 400 Salute to First Responders,1,1,26,Richmond Raceway,2021-09-11T19:30:00,2021-09-11T19:30:00,,2021-09-11T19:30:00,300.0,300.0,400,400,80,155,165,37,0,0.0,21,8,5,30,98.307,3:03:06,1.417,0,"Martin Truex Jr. has won the Federated Auto Parts 400 Salute to First Responders at Richmond Raceway, his 31st victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty: No. 5, 41 (multiple inspection failures), No. 51 (driver change). ",0,MRN,NBCSN,1544,True,1,False,0,-1,False,3368,
5039,1,2021,Bass Pro Shops Night Race,1,1,14,Bristol Motor Speedway,2021-09-18T19:30:00,2021-09-18T19:30:00,,2021-09-18T19:30:00,266.5,266.5,500,500,125,125,250,38,0,0.0,23,7,8,71,87.409,3:02:56,0.227,0,"Kyle Larson has won the Bass Pro Shops NRA Night Race at Bristol Motor Speedway, his 12th victory in the NASCAR Cup Series. Prior to the start of the race, no vehicles dropped to the rear of the field under penalty. ",0,PRN,NBCSN,612,True,1,False,0,-1,False,4030,
5081,1,2021,South Point 400,1,1,42,Las Vegas Motor Speedway,2021-09-26T19:00:00,2021-09-26T16:00:00,,2021-09-26T19:00:00,400.5,400.5,267,267,80,80,107,38,0,0.0,21,10,4,21,144.643,2:46:08,0.442,0,"Denny Hamlin won the South Point 400 at Las Vegas Motor Speedway, his 46th NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reason indicated: #10, #19, #24, #66 (multiple inspection failures).",0,PRN,NBCSN,4705,True,2,False,0,-1,False,1361,
5082,1,2021,YellaWood 500,1,1,82,Talladega Superspeedway,2021-10-03T14:00:00,2021-10-04T12:00:00,,2021-10-04T13:00:00,500.08,311.22,188,117,60,60,-3,40,0,0.0,35,19,5,27,130.218,2:23:24,Caution,0,"Bubba Wallace won the YellaWood 500 at Talladega Superspeedway, his first career NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: #00 and 53 (Mulitple Inspection Failures) and 66 (Driver Change).",0,MRN,NBCSN,937,True,2,False,0,-1,False,4025,
5083,1,2021,Bank of America ROVAL 400,1,1,210,Charlotte Motor Speedway Road Course,2021-10-10T14:00:00,2021-10-10T14:00:00,,2021-10-10T14:00:00,252.88,252.88,109,109,25,25,59,39,0,0.0,15,10,9,18,77.783,3:15:04,.782,0,"Kyle Larson has won the Bank of America ROVAL 400 at the Charlotte Motor Speedway Road Course, his 13th victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason indicated: No. 53 (Multiple inspection failures).",0,PRN,NBC,4707,True,2,False,0,-1,False,4030,
5044,1,2021,Autotrader EchoPark Automotive 500,1,1,43,Texas Motor Speedway,2021-10-17T14:00:00,2021-10-17T13:00:00,,2021-10-17T14:00:00,501.0,501.0,334,334,105,105,124,39,0,0.0,8,5,11,55,134.859,3:42:54,.459,0,"Kyle Larson won the Autotrader EchoPark Automotive 500 at Texas Motor Speedway, his 14th NASCAR Cup Series victory. Prior to the start of the race the following cars dropped to the rear of the field under penalty for the reason indicated: #7, #9, #14, #15, #66 (multiple inspection failures), #48, #77 (unapproved adjustments).",0,PRN,NBC,2100,True,3,False,0,-1,False,4030,
5084,1,2021,Hollywood Casino 400,1,1,41,Kansas Speedway,2021-10-24T15:00:00,2021-10-24T14:00:00,,2021-10-24T15:00:00,400.5,400.5,267,267,80,80,107,40,0,0.0,23,8,7,33,130.728,3:03:49,3.619,0,"Kyle Larson won the Hollywood Casino 400 at Kansas Speedway, his 15th career NASCAR Cup Series victory. Prior to the start of the race, the following cars dropped to the rear of the field for the reasons indicated: No. 00 (Three Inspection Failures), No. 6 (Two Inspection Failures), No. 14 (Unapproved Adjustments).",0,MRN,NBCSN,1950,True,3,False,0,-1,False,4030,
5060,1,2021,Xfinity 500,1,1,22,Martinsville Speedway,2021-10-31T14:00:00,2021-10-31T14:00:00,,2021-10-31T14:00:00,263.0,263.53,500,501,130,130,241,38,0,0.0,15,7,15,91,70.968,3:42:48,.472,0,"Alex Bowman has won the Xfinity 500 at Martinsville Speedway, his sixth career victory in the NASCAR Cup Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason indicated: No. 11 (Multiple Inspection Failures).",0,MRN,NBC,6,True,3,False,0,-1,False,4045,
5087,1,2021,NASCAR Cup Series Championship,1,1,84,Phoenix Raceway,2021-11-07T15:00:00,2021-11-07T15:00:00,2021-11-07T13:00:00,2021-11-07T15:00:00,312.0,312.0,312,312,75,115,122,39,4030,137.847,18,7,9,51,100.348,3:06:33,.398,0,"Kyle Larson has won the NASCAR Cup Series Championship Race at Phoenix Raceway, his 16th career victory in the NASCAR Cup Series. Kyle Larson has won the 2021 NASCAR Cup Series Championship. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field under penalty for the reason indicated: Nos. 52, 66 (Uapproved adjustments). ",0,MRN,NBC,1550,True,4,False,0,-1,True,4030,
5088,2,2021,Beef. It's What's For Dinner. 300,1,1,105,Daytona International Speedway,2021-02-13T17:00:00,2021-02-13T17:00:00,,2021-02-13T17:00:00,300.0,305.0,120,122,30,30,62,40,0,0.0,16,11,9,42,118.677,2:34:12,.104,0,"Austin Cindric won the Beef. Its Whats For Dinner. 300 at Daytona International Speedway, his ninth victory in the NASCAR Xfinity Series. Prior to the start of the race, no vehicle(s) dropped to the rear of the field. ",0,MRN,FS1,2131,True,0,False,0,-1,True,4180,
5089,2,2021,Super Start Batteries 188 At DAYTONA Presented by O’Reilly,1,1,212,DAYTONA Road Course,2021-02-20T17:00:00,2021-02-20T17:00:00,,2021-02-20T17:00:00,188.0,202.16,52,56,15,15,26,40,0,0.0,11,8,7,14,78.213,2:35:05,1.726,0,"Ty Gibbs has won the Super Start Batteries 188 At DAYTONA Presented by O’Reilly at the Daytona International Speedway Road Course, his first victory in the NASCAR Xfinity Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field for the reasons indicated: No. 18 (Multiple Inspection Failures), #9 (Unapproved adjustments).",0,MRN,FS1,4928,True,0,False,0,-1,False,4368,
5090,2,2021,Contender Boats 250,1,1,40,Homestead-Miami Speedway,2021-02-27T16:30:00,2021-02-27T16:30:00,,2021-02-27T16:30:00,250.0,268.5,167,179,40,40,99,40,0,0.0,20,11,8,42,103.72,2:30:59,.085,0,"Myatt Snider won the Contender Boats 250 at Homestead-Miami Speedway, his first career NASCAR Xfinity Series victory. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,FS1,2861,True,0,False,0,-1,False,4223,
5091,2,2021,Alsco Uniforms 300,1,1,42,Las Vegas Motor Speedway,2021-03-06T16:30:00,2021-03-06T13:30:00,,2021-03-06T16:30:00,300.0,300.0,200,200,45,45,110,40,0,0.0,23,7,8,45,113.804,2:38:10,.978,0,"AJ Allmendinger has won the Alsco Uniforms 300 at Las Vegas Motor Speedway, his sixth victory in the NASCAR Xfinity Series. Prior to the start of the race, the following vehicle(s) dropped to the rear of the field for the reasons indicated: No. 0 (unapproved adjustments), No. 17 (driver change). ",0,PRN,FS1,2573,True,0,False,0,-1,False,3774,
5092,2,2021,Call 811 Before You Dig 200 presented by Arizona 811,1,1,84,Phoenix Raceway,2021-03-13T17:30:00,2021-03-13T15:30:00,,2021-03-13T17:30:00,200.0,200.0,200,200,45,45,110,40,0,0.0,10,6,11,65,82.408,2:25:37,.360,0,"Austin Cindric won the Call 811 Before You Dig 200 Presented by Arizona 811 at Phoenix Raceway, his 10th NASCAR Xfinity Series victory. Prior to the start of the race the following car dropped to the rear of the field under penalty for the reason indicated: #13 (driver change).",0,MRN,FS1,2837,True,0,False,0,-1,False,4180,
5093,2,2021,EchoPark 250,1,1,111,Atlanta Motor Speedway,2021-03-20T17:00:00,2021-03-20T17:00:00,,2021-03-20T17:00:00,308.0,251.02,163,163,40,40,83,40,0,0.0,6,5,7,37,115.117,2:10:50,1.449,0,"Justin Allgaier won the 30th running of the EchoPark 250 at Atlanta Motor Speedway, his 15th victory in the NASCAR Xfinity Series. Prior to the start of the race, the following cars dropped to the rear of the field under penalty for the reasons indicated: Nos. 13 and 61 (driver change), 16 (multiple inspection failures). ",0,PRN,FS1,2432,True,0,False,0,-1,False,34,
5094,2,2021,Cook Out 250,1,1,22,Martinsville Speedway,2021-04-09T20:00:00,2021-04-09T20:00:00,,2021-04-11T12:00:00,131.5,131.5,250,250,60,60,130,40,0,0.0,13,9,12,75,59.758,2:12:02,0.590,0,"Josh Berry won the Cook Out 250 at Martinsville Speedway, his first career NASCAR Xfinity Series victory. Prior to the start of the race, no cars dropped to the rear of the field.",0,MRN,FS1,4916,True,0,False,0,-1,False,4123,
